id,modelo_id,color_id,voltaje_id,sku,precioPublico,costo,stock_leo,stock_av135,capacidad_ah
1,1,1,2,VMPS5-48V-NARANJA-AZUL,10899,11879,0,0,
2,1,2,2,VMPS5-48V-ROJO-AZUL,10899,11879,0,0,
3,1,3,2,VMPS5-48V-GRIS-AMARILLO,10899,11879,0,0,
4,1,4,2,VMPS5-48V-AMARILLO-VERDE,10899,11879,0,0,
5,2,5,2,SOL-48V-AZUL-CELESTE,12399,8640,0,0,
6,2,6,2,SOL-48V-AZUL-CIELO,12399,8640,0,0,
7,2,7,2,SOL-48V-NEGRO,12399,8640,0,0,
8,2,8,2,SOL-48V-BLANCO,12399,8640,0,0,
9,2,9,2,SOL-48V-ROSA,12399,8640,0,0,
10,2,10,2,SOL-48V-ROJO,12399,8640,0,0,
11,2,11,2,SOL-48V-GRIS,12399,8640,0,0,
12,2,12,2,SOL-48V-VERDE-MILITAR,12399,8640,0,0,
13,2,5,3,SOL-60V-AZUL-CELESTE,12999,9180,0,0,
14,2,6,3,SOL-60V-AZUL-CIELO,12999,9180,0,0,
15,2,7,3,SOL-60V-NEGRO,12999,9180,0,0,
16,2,8,3,SOL-60V-BLANCO,12999,9180,0,0,
17,2,9,3,SOL-60V-ROSA,12999,9180,0,0,
18,2,10,3,SOL-60V-ROJO,12999,9180,0,0,
19,2,11,3,SOL-60V-GRIS,12999,9180,0,0,
20,2,12,3,SOL-60V-VERDE-MILITAR,12999,9180,0,0,
21,3,8,2,PRIMAVERA-48V-BLANCO,13199,9504,0,0,
22,3,9,2,PRIMAVERA-48V-ROSA,13199,9504,0,0,
23,3,13,2,PRIMAVERA-48V-VERDE,13199,9504,0,0,
24,3,14,2,PRIMAVERA-48V-CAF,13199,9504,0,0,
25,3,8,3,PRIMAVERA-60V-BLANCO,13899,10044,0,0,
26,3,9,3,PRIMAVERA-60V-ROSA,13899,10044,0,0,
27,3,13,3,PRIMAVERA-60V-VERDE,13899,10044,0,0,
28,3,14,3,PRIMAVERA-60V-CAF,13899,10044,0,0,
29,4,7,2,GALAXY-48V-NEGRO,13999,9828,0,0,
30,4,8,2,GALAXY-48V-BLANCO,13999,9828,0,0,
31,4,9,2,GALAXY-48V-ROSA,13999,9828,0,0,
32,4,10,2,GALAXY-48V-ROJO,13999,9828,0,0,
33,4,11,2,GALAXY-48V-GRIS,13999,9828,0,0,
34,4,15,2,GALAXY-48V-AMARILLO,13999,9828,0,0,
35,4,16,2,GALAXY-48V-AZUL,13999,9828,0,0,
36,4,7,3,GALAXY-60V-NEGRO,14699,9828,0,0,
37,4,8,3,GALAXY-60V-BLANCO,14699,9828,0,0,
38,4,9,3,GALAXY-60V-ROSA,14699,9828,0,0,
39,4,10,3,GALAXY-60V-ROJO,14699,9828,0,0,
40,4,11,3,GALAXY-60V-GRIS,14699,9828,0,0,
41,4,15,3,GALAXY-60V-AMARILLO,14699,9828,0,0,
42,4,16,3,GALAXY-60V-AZUL,14699,9828,0,0,
43,5,7,3,RAYO-60V-NEGRO,15899,11340,0,0,
44,5,11,3,RAYO-60V-GRIS,15899,11340,0,0,
45,5,17,3,RAYO-60V-MORADO,15899,11340,0,0,
46,5,16,3,RAYO-60V-AZUL,15899,11340,0,0,
47,5,11,4,RAYO-72V-GRIS,16549,11880,0,0,
48,5,17,4,RAYO-72V-MORADO,16549,11880,0,0,
49,5,16,4,RAYO-72V-AZUL,16549,11880,0,0,
50,5,7,4,RAYO-72V-NEGRO,16549,11880,0,0,
51,6,8,3,RAYO-PRO-60V-BLANCO,16899,10800,0,0,
52,6,10,3,RAYO-PRO-60V-ROJO,16899,10800,0,0,
53,6,15,3,RAYO-PRO-60V-AMARILLO,16899,10800,0,0,
54,6,18,3,RAYO-PRO-60V-BLANCO-ROJO,16899,10800,0,0,
55,6,19,3,RAYO-PRO-60V-NEGRO-VERDE,16899,10800,0,0,
56,6,20,3,RAYO-PRO-60V-CAF-NARANJA,16899,10800,0,0,
57,6,8,4,RAYO-PRO-72V-BLANCO,17599,11400,0,0,
58,6,10,4,RAYO-PRO-72V-ROJO,17599,11400,0,0,
59,6,15,4,RAYO-PRO-72V-AMARILLO,17599,11400,0,0,
60,6,19,4,RAYO-PRO-72V-NEGRO-VERDE,17599,11400,0,0,
61,6,18,4,RAYO-PRO-72V-BLANCO-ROJO,17599,11400,0,0,
62,6,20,4,RAYO-PRO-72V-CAF-NARANJA,17599,11400,0,0,
63,7,8,3,GALAXY-PLUS-60V-BLANCO,16899,11664,0,0,
64,7,11,3,GALAXY-PLUS-60V-GRIS,16899,11664,0,0,
65,7,15,3,GALAXY-PLUS-60V-AMARILLO,16899,11664,0,0,
66,7,17,3,GALAXY-PLUS-60V-MORADO,16899,11664,0,0,
67,7,5,3,GALAXY-PLUS-60V-AZUL-CELESTE,16899,11664,0,0,
68,7,8,4,GALAXY-PLUS-72V-BLANCO,16799,12312,0,0,
69,7,15,4,GALAXY-PLUS-72V-AMARILLO,16799,12312,0,0,
70,7,17,4,GALAXY-PLUS-72V-MORADO,16799,12312,0,0,
71,7,11,4,GALAXY-PLUS-72V-GRIS,16799,12312,0,0,
72,7,5,4,GALAXY-PLUS-72V-AZUL-CELESTE,16799,12312,0,0,
73,8,21,2,TAURO-48V-NEGRO-NARANJA,17699,14580,0,0,
74,8,22,2,TAURO-48V-NEGRO-ROJO,17699,14580,0,0,
75,8,14,2,TAURO-48V-CAF,17699,14580,0,0,
76,8,23,2,TAURO-48V-ROJO-NEGRO,17699,14580,0,0,
77,8,19,2,TAURO-48V-NEGRO-VERDE,17699,14580,0,0,
